Planet Name,Planet Radius (Earth),Planet Mass (Earth),Orbital Distance (AU),Star Temperature (K),Habitability Label,Text Description
GJ 436 b,4.1910451,23.138024,0.03109,3350.0,0,"GJ 436 b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a cool, red star. Numerically, it has a radius of 4.19 Earth radii, a mass of 23.14 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 3350 K."
GJ 436 b,4.1,25.4,0.0308,3416.0,0,"GJ 436 b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a cool, red star. Numerically, it has a radius of 4.10 Earth radii, a mass of 25.40 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 3416 K."
GJ 436 b,4.091285,23.424071,0.02887,3500.0,0,"GJ 436 b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 4.09 Earth radii, a mass of 23.42 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 3500 K."
GJ 486 b,1.289,2.77,0.01714,3317.0,0,"GJ 486 b is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a cool, red star. Numerically, it has a radius of 1.29 Earth radii, a mass of 2.77 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 3317 K."
GJ 486 b,1.343,3.0,0.01713,3291.0,0,"GJ 486 b is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a cool, red star. Numerically, it has a radius of 1.34 Earth radii, a mass of 3.00 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 3291 K."
GJ 486 b,1.305,2.82,0.01734,3340.0,0,"GJ 486 b is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a cool, red star. Numerically, it has a radius of 1.30 Earth radii, a mass of 2.82 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 3340 K."
GJ 806 b,1.331,1.9,0.01406,3600.0,0,"GJ 806 b is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.33 Earth radii, a mass of 1.90 Earth masses, an orbital distance of 0.01 AU, and its star's effective temperature is 3600 K."
GJ 9827 b,1.577,4.91,0.0188,4340.0,0,"GJ 9827 b is a super-Earth or mini-Neptune with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.58 Earth radii, a mass of 4.91 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 4340 K."
GJ 9827 b,1.577,5.14,0.0188,4305.0,0,"GJ 9827 b is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.58 Earth radii, a mass of 5.14 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 4305 K."
GJ 9827 b,1.44,4.28,0.0189,4236.0,0,"GJ 9827 b is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.44 Earth radii, a mass of 4.28 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 4236 K."
GJ 9827 b,1.62,3.42,0.01888,4269.0,0,"GJ 9827 b is a super-Earth or mini-Neptune with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.62 Earth radii, a mass of 3.42 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 4269 K."
GJ 9827 b,1.58,3.69,0.0206,4219.0,0,"GJ 9827 b is a super-Earth or mini-Neptune with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.58 Earth radii, a mass of 3.69 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 4219 K."
GJ 9827 c,1.24,1.45,0.0429,4219.0,0,"GJ 9827 c is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.24 Earth radii, a mass of 1.45 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4219 K."
GJ 9827 c,1.13,1.86,0.0395,4236.0,0,"GJ 9827 c is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.13 Earth radii, a mass of 1.86 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4236 K."
GJ 9827 c,1.241,1.3,0.03925,4305.0,0,"GJ 9827 c is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.24 Earth radii, a mass of 1.30 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4305 K."
GJ 9827 c,1.269,2.42,0.03942,4269.0,0,"GJ 9827 c is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.27 Earth radii, a mass of 2.42 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4269 K."
GJ 9827 c,1.241,0.84,0.03925,4340.0,0,"GJ 9827 c is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.24 Earth radii, a mass of 0.84 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4340 K."
GJ 9827 d,2.022,3.53,0.0559,4305.0,0,"GJ 9827 d is a super-Earth or mini-Neptune with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 2.02 Earth radii, a mass of 3.53 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4305 K."
GJ 9827 d,2.04,2.35,0.0611,4219.0,0,"GJ 9827 d is a super-Earth or mini-Neptune with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 2.04 Earth radii, a mass of 2.35 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4219 K."
GJ 9827 d,2.022,4.04,0.05591,4340.0,0,"GJ 9827 d is a super-Earth or mini-Neptune with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 2.02 Earth radii, a mass of 4.04 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4340 K."
GJ 9827 d,2.07,5.2,0.05615,4269.0,0,"GJ 9827 d is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 2.07 Earth radii, a mass of 5.20 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4269 K."
GJ 9827 d,1.89,3.02,0.0563,4236.0,0,"GJ 9827 d is a super-Earth or mini-Neptune with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.89 Earth radii, a mass of 3.02 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4236 K."
GJ 9827 d,1.98,3.02,0.053,4236.0,0,"GJ 9827 d is a super-Earth or mini-Neptune with a few times Earth's mass. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.98 Earth radii, a mass of 3.02 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 4236 K."
GPX-1 b,16.47720163,6261.2196179,0.0338,7000.0,0,"GPX-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a very hot, blue star. Numerically, it has a radius of 16.48 Earth radii, a mass of 6261.22 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 7000 K."
Gaia-1 b,13.77583728,533.95172376,0.04047,5470.0,0,"Gaia-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 13.78 Earth radii, a mass of 533.95 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5470 K."
Gaia-2 b,14.81827249,259.66580852,0.0467,5720.0,0,"Gaia-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.82 Earth radii, a mass of 259.67 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5720 K."
Gliese 12 b,0.9,10.0,0.067,3253.0,0,"Gliese 12 b is similar in size to Earth with significantly more massive than Earth. It orbits very close to its star around a cool, red star. Numerically, it has a radius of 0.90 Earth radii, a mass of 10.00 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 3253 K."
Gliese 12 b,0.958,3.87,0.0668,3296.0,0,"Gliese 12 b is similar in size to Earth with a few times Earth's mass. It orbits very close to its star around a cool, red star. Numerically, it has a radius of 0.96 Earth radii, a mass of 3.87 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 3296 K."
HAT-P-1 b,14.784671,166.86075,0.05561,5980.0,0,"HAT-P-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.78 Earth radii, a mass of 166.86 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5980 K."
HAT-P-1 b,15.24424,168.4499,0.0551,5975.0,0,"HAT-P-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.24 Earth radii, a mass of 168.45 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5975 K."
HAT-P-1 b,14.784671,168.13207,0.05561,5980.0,0,"HAT-P-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.78 Earth radii, a mass of 168.13 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5980 K."
HAT-P-1 b,13.921578,166.86075,0.0553,5980.0,0,"HAT-P-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.92 Earth radii, a mass of 166.86 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5980 K."
HAT-P-1 b,13.641353,166.54292,0.05535,5975.0,0,"HAT-P-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.64 Earth radii, a mass of 166.54 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5975 K."
HAT-P-1 b,13.921578,169.08556,0.0553,5975.0,0,"HAT-P-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.92 Earth radii, a mass of 169.09 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5975 K."
HAT-P-11 b,4.449973,26.69772,0.05259,4780.0,0,"HAT-P-11 b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 4.45 Earth radii, a mass of 26.70 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 4780 K."
HAT-P-11 b,4.73,25.743,0.053,4780.0,0,"HAT-P-11 b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 4.73 Earth radii, a mass of 25.74 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 4780 K."
HAT-P-11 b,4.901,25.0,0.0532,4780.0,0,"HAT-P-11 b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 4.90 Earth radii, a mass of 25.00 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 4780 K."
HAT-P-11 b,4.36,23.4,0.05254,4780.0,0,"HAT-P-11 b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 4.36 Earth radii, a mass of 23.40 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 4780 K."
HAT-P-12 b,10.749,67.059,0.0384,4650.0,0,"HAT-P-12 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.75 Earth radii, a mass of 67.06 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4650 K."
HAT-P-12 b,10.749431,66.235772,0.03838,4650.0,0,"HAT-P-12 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.75 Earth radii, a mass of 66.24 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4650 K."
HAT-P-12 b,10.301071,63.88383,0.03767,4665.0,0,"HAT-P-12 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.30 Earth radii, a mass of 63.88 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4665 K."
HAT-P-13 b,16.667783,287.95398,0.0431,5653.0,0,"HAT-P-13 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.67 Earth radii, a mass of 287.95 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5653 K."
HAT-P-13 b,14.359,271.098,0.0427,5653.0,0,"HAT-P-13 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.36 Earth radii, a mass of 271.10 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5653 K."
HAT-P-13 b,14.358729,280.64389,0.0427,5653.0,0,"HAT-P-13 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.36 Earth radii, a mass of 280.64 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5653 K."
HAT-P-14 b,13.663771,721.79193,0.06108,6600.0,0,"HAT-P-14 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.66 Earth radii, a mass of 721.79 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 6600 K."
HAT-P-14 b,13.4508,724.6524,0.0596,6583.0,0,"HAT-P-14 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.45 Earth radii, a mass of 724.65 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 6583 K."
HAT-P-14 b,12.89,709.367,0.0606,6600.0,0,"HAT-P-14 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.89 Earth radii, a mass of 709.37 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 6600 K."
HAT-P-14 b,12.89035,731.96249,0.06062,6600.0,0,"HAT-P-14 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.89 Earth radii, a mass of 731.96 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 6600 K."
HAT-P-15 b,12.016048,619.45067,0.0965,5568.0,0,"HAT-P-15 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.02 Earth radii, a mass of 619.45 Earth masses, an orbital distance of 0.10 AU, and its star's effective temperature is 5568 K."
HAT-P-15 b,12.016,618.471,0.0964,5568.0,0,"HAT-P-15 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.02 Earth radii, a mass of 618.47 Earth masses, an orbital distance of 0.10 AU, and its star's effective temperature is 5568 K."
HAT-P-16 b,14.448401,1341.56043,0.04134,6158.0,0,"HAT-P-16 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.45 Earth radii, a mass of 1341.56 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6158 K."
HAT-P-16 b,14.448,1332.605,0.0413,6158.0,0,"HAT-P-16 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.45 Earth radii, a mass of 1332.61 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6158 K."
HAT-P-16 b,13.33871,1331.38987,0.0413,6158.0,0,"HAT-P-16 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.34 Earth radii, a mass of 1331.39 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6158 K."
HAT-P-17 b,11.32109,170.67471,0.0882,5246.0,0,"HAT-P-17 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.32 Earth radii, a mass of 170.67 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 5246 K."
HAT-P-17 b,11.321,169.71,0.0882,5246.0,0,"HAT-P-17 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.32 Earth radii, a mass of 169.71 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 5246 K."
HAT-P-18 b,11.153,62.61,0.0559,4803.0,0,"HAT-P-18 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.15 Earth radii, a mass of 62.61 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4803 K."
HAT-P-18 b,10.614923,62.29468,0.0559,4870.0,0,"HAT-P-18 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.61 Earth radii, a mass of 62.29 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4870 K."
HAT-P-18 b,11.152955,63.566,0.05596,4803.0,0,"HAT-P-18 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.15 Earth radii, a mass of 63.57 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4803 K."
HAT-P-19 b,12.688588,90.26372,0.04664,4990.0,0,"HAT-P-19 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 12.69 Earth radii, a mass of 90.26 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 4990 K."
HAT-P-19 b,12.689,92.802,0.0466,4990.0,0,"HAT-P-19 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 12.69 Earth radii, a mass of 92.80 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 4990 K."
HAT-P-19 b,11.29865255,88.03846874,0.04599,4962.0,0,"HAT-P-19 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.30 Earth radii, a mass of 88.04 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 4962 K."
HAT-P-2 b,12.3,2828.6,0.068,6300.0,0,"HAT-P-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.30 Earth radii, a mass of 2828.60 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 6300 K."
HAT-P-2 b,11.007238,2873.1832,0.0677,6290.0,0,"HAT-P-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.01 Earth radii, a mass of 2873.18 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 6290 K."
HAT-P-2 b,12.969,2888.95,0.06878,6290.0,0,"HAT-P-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.97 Earth radii, a mass of 2888.95 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 6290 K."
HAT-P-2 b,11.242627,2771.4776,0.0679,6290.0,0,"HAT-P-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.24 Earth radii, a mass of 2771.48 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 6290 K."
HAT-P-2 b,12.968813,2765.121,0.0688,6290.0,0,"HAT-P-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.97 Earth radii, a mass of 2765.12 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 6290 K."
HAT-P-2 b,13.33871,2777.8342,0.0674,6290.0,0,"HAT-P-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.34 Earth radii, a mass of 2777.83 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 6290 K."
HAT-P-20 b,9.75,2320.1,0.036,4600.0,0,"HAT-P-20 b is a Neptune-sized planet with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 9.75 Earth radii, a mass of 2320.10 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4600 K."
HAT-P-20 b,9.718203,2310.6241,0.03617,4595.0,0,"HAT-P-20 b is a Neptune-sized planet with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 9.72 Earth radii, a mass of 2310.62 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4595 K."
HAT-P-20 b,11.489225,2294.7326,0.03593,4595.0,0,"HAT-P-20 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.49 Earth radii, a mass of 2294.73 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4595 K."
HAT-P-20 b,9.718,2302.899,0.0361,4595.0,0,"HAT-P-20 b is a Neptune-sized planet with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 9.72 Earth radii, a mass of 2302.90 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 4595 K."
HAT-P-21 b,11.478,1291.289,0.0494,5588.0,0,"HAT-P-21 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.48 Earth radii, a mass of 1291.29 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5588 K."
HAT-P-21 b,11.478016,1261.7851,0.0495,5588.0,0,"HAT-P-21 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.48 Earth radii, a mass of 1261.79 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5588 K."
HAT-P-22 b,12.10572,682.69884,0.0414,5302.0,0,"HAT-P-22 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 12.11 Earth radii, a mass of 682.70 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5302 K."
HAT-P-22 b,12.10572,690.32676,0.04142,5302.0,0,"HAT-P-22 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 12.11 Earth radii, a mass of 690.33 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5302 K."
HAT-P-22 b,11.88154,696.68336,0.04171,5314.0,0,"HAT-P-22 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.88 Earth radii, a mass of 696.68 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5314 K."
HAT-P-22 b,12.106,682.352,0.0414,5302.0,0,"HAT-P-22 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 12.11 Earth radii, a mass of 682.35 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5302 K."
HAT-P-23 b,15.333912,626.1251,0.0232,5905.0,0,"HAT-P-23 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.33 Earth radii, a mass of 626.13 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5905 K."
HAT-P-23 b,15.334,664.237,0.0232,5905.0,0,"HAT-P-23 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.33 Earth radii, a mass of 664.24 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5905 K."
HAT-P-23 b,13.72,658.0,0.02302,5885.0,0,"HAT-P-23 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.72 Earth radii, a mass of 658.00 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5885 K."
HAT-P-24 b,13.921578,229.79109,0.04651,6373.0,0,"HAT-P-24 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.92 Earth radii, a mass of 229.79 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6373 K."
HAT-P-24 b,13.922,217.704,0.0465,6373.0,0,"HAT-P-24 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.92 Earth radii, a mass of 217.70 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6373 K."
HAT-P-24 b,14.751044,217.71355,0.0465,6373.0,0,"HAT-P-24 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.75 Earth radii, a mass of 217.71 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6373 K."
HAT-P-25 b,13.33871,180.20961,0.04659,5500.0,0,"HAT-P-25 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.34 Earth radii, a mass of 180.21 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5500 K."
HAT-P-25 b,12.722215,180.84527,0.0466,5519.0,0,"HAT-P-25 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.72 Earth radii, a mass of 180.85 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5519 K."
HAT-P-25 b,13.339,180.202,0.0466,5500.0,0,"HAT-P-25 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.34 Earth radii, a mass of 180.20 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5500 K."
HAT-P-26 b,6.333,18.751,0.0479,5079.0,0,"HAT-P-26 b is a Neptune-sized planet with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 6.33 Earth radii, a mass of 18.75 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5079 K."
HAT-P-27 b,11.43318,195.78328,0.03998,5190.0,0,"HAT-P-27 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.43 Earth radii, a mass of 195.78 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5190 K."
HAT-P-27 b,11.6349,209.759,0.0403,5300.0,0,"HAT-P-27 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.63 Earth radii, a mass of 209.76 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5300 K."
HAT-P-27 b,11.43,197.05,0.04,5316.0,0,"HAT-P-27 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 11.43 Earth radii, a mass of 197.05 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5316 K."
